,name,alpha-3,region,sub-region,year,CO2,renewable,no_renewable,GDP,Population
118,Morocco,MAR,Africa,Northern Africa,2019,71480.00336,20.69,79.31,1.197E+11,36471766
119,Mozambique,MOZ,Africa,Sub-Saharan Africa,2018,6949.999809,84.39,15.61,14845870051,29496009
120,Mozambique,MOZ,Africa,Sub-Saharan Africa,2019,7500,83.24,16.76,15291448212,30366043
121,Nauru,NRU,Oceania,Micronesia,2018,59.99999866,0,100,124021393.7,10678
122,Nauru,NRU,Oceania,Micronesia,2019,59.99999866,0,100,118223430.1,10764
123,Netherlands,NLD,Europe,Western Europe,2018,151360.0006,22.67,77.33,9.14043E+11,17231624
124,Netherlands,NLD,Europe,Western Europe,2019,146339.9963,25.46,74.54,9.07051E+11,17344874
125,New Zealand,NZL,Oceania,Australia and New Zealand,2018,32360.00061,84.28,15.72,2.07921E+11,4900600
126,New Zealand,NZL,Oceania,Australia and New Zealand,2019,34009.99832,82.62,17.38,2.06929E+11,4979200
127,Nicaragua,NIC,Americas,Latin America and the Caribbean,2018,5110.000134,65.8,34.2,13063904770,6465502
128,Nicaragua,NIC,Americas,Latin America and the Caribbean,2019,5239.999771,68.52,31.48,12520915291,6545503
129,Niger,NER,Africa,Sub-Saharan Africa,2018,1950.000048,4.2,95.8,12846952857,22442831
130,Niger,NER,Africa,Sub-Saharan Africa,2019,2150.000095,4.08,95.92,12911689659,23310719
131,Norway,NOR,Europe,Northern Europe,2018,37590.00015,98.19,1.81,4.34167E+11,5311916
132,Norway,NOR,Europe,Northern Europe,2019,35950.00076,98.22,1.78,4.03336E+11,5347896
133,Oman,OMN,Asia,Western Asia,2018,75599.99847,0.01,99.99,79788768969,4829476
134,Oman,OMN,Asia,Western Asia,2019,76029.99878,0.01,99.99,76331518669,4974992
135,Panama,PAN,Americas,Latin America and the Caribbean,2018,10060.00042,78.56,21.44,65128200000,4176868
136,Panama,PAN,Americas,Latin America and the Caribbean,2019,13340.00015,82.13,17.87,66800800000,4246440
137,Papua New Guinea,PNG,Oceania,Melanesia,2018,7559.999943,20.99,79.01,24109509856,8606324
138,Papua New Guinea,PNG,Oceania,Melanesia,2019,7579.999924,20.55,79.45,24829107011,8776119
139,Paraguay,PRY,Americas,Latin America and the Caribbean,2018,8470.000267,100,0,40384691791,6956069
140,Paraguay,PRY,Americas,Latin America and the Caribbean,2019,8210.000038,100,0,38145288940,7044639
141,Peru,PER,Americas,Latin America and the Caribbean,2018,54590.00015,62.31,37.69,2.22045E+11,31989265
142,Peru,PER,Americas,Latin America and the Caribbean,2019,56750,62.02,37.98,2.26848E+11,32510462
143,Philippines,PHL,Asia,South-eastern Asia,2018,138570.0073,24.4,75.6,3.46842E+11,106651394
144,Philippines,PHL,Asia,South-eastern Asia,2019,145419.9982,21.73,78.27,3.76796E+11,108116622
145,Poland,POL,Europe,Eastern Europe,2018,311910.0037,16,84,5.87412E+11,37974750
146,Poland,POL,Europe,Eastern Europe,2019,295130.0049,18.48,81.52,5.95858E+11,37965475
147,Portugal,PRT,Europe,Southern Europe,2018,49500,52.89,47.11,2.42313E+11,10283822
148,Portugal,PRT,Europe,Southern Europe,2019,44639.99939,56.5,43.5,2.38785E+11,10286263
149,Qatar,QAT,Asia,Western Asia,2018,86419.99817,0.53,99.47,1.83335E+11,2781682
150,Qatar,QAT,Asia,Western Asia,2019,91970.00122,0.5,99.5,1.75838E+11,2832071
151,Romania,ROU,Europe,Eastern Europe,2018,75190.00244,58.58,41.42,2.41457E+11,19473970
152,Romania,ROU,Europe,Eastern Europe,2019,73949.99695,60.92,39.08,2.50077E+11,19371648
153,Russia,RUS,Europe,Eastern Europe,2018,1661000,36.02,63.98,1.66958E+12,144477859
154,Russia,RUS,Europe,Eastern Europe,2019,1703589.966,37.33,62.67,1.69988E+12,144406261
155,Senegal,SEN,Africa,Sub-Saharan Africa,2018,10180.00031,13.34,86.66,23236007428,15854324
156,Senegal,SEN,Africa,Sub-Saharan Africa,2019,10619.99989,13.22,86.78,23578084052,16296362
157,Serbia,SRB,Europe,Southern Europe,2018,46130.00107,31.06,68.94,50640650221,6982604
158,Serbia,SRB,Europe,Southern Europe,2019,45950.00076,32.04,67.96,51475016532,6945235
159,Seychelles,SYC,Africa,Sub-Saharan Africa,2018,579.9999833,1.15,98.85,1586009000,96762
160,Seychelles,SYC,Africa,Sub-Saharan Africa,2019,610.0000143,1.15,98.85,1703387387,97625
161,Singapore,SGP,Asia,South-eastern Asia,2018,47400.00153,6.02,93.98,3.73217E+11,5638676
162,Singapore,SGP,Asia,South-eastern Asia,2019,47380.00107,5.72,94.28,3.72063E+11,5703569
163,Slovakia,SVK,Europe,Eastern Europe,2018,33000,79.01,20.99,1.05702E+11,5446771
164,Slovakia,SVK,Europe,Eastern Europe,2019,31079.99992,81.29,18.71,1.0508E+11,5454147
165,Slovenia,SVN,Europe,Southern Europe,2018,14069.99969,68.73,31.27,54161636035,2073894
166,Slovenia,SVN,Europe,Southern Europe,2019,13600.00038,68.99,31.01,54174227309,2088385
167,Solomon Islands,SLB,Oceania,Melanesia,2018,360.0000143,8.26,91.74,1593964162,652856
168,Solomon Islands,SLB,Oceania,Melanesia,2019,360.0000143,6.31,93.69,1589913622,669821
169,Sri Lanka,LKA,Asia,Southern Asia,2018,21690.00053,46.57,53.43,88425889592,21670000
170,Sri Lanka,LKA,Asia,Southern Asia,2019,23780.00069,46.55,53.45,84008783756,21803000
171,Sudan,SDN,Africa,Northern Africa,2018,20860.00061,61.28,38.72,33128480499,41801532
172,Sudan,SDN,Africa,Northern Africa,2019,20620.00084,60,40,30513456085,42813237
173,Sweden,SWE,Europe,Northern Europe,2018,36009.99832,97.91,2.09,5.55455E+11,10175214
174,Sweden,SWE,Europe,Northern Europe,2019,35000,98.01,1.99,5.30884E+11,10278887
175,Thailand,THA,Asia,South-eastern Asia,2018,257049.9878,24.46,75.54,5.06514E+11,69428454
176,Thailand,THA,Asia,South-eastern Asia,2019,267089.9963,26,74,5.43549E+11,69625581
177,Togo,TGO,Africa,Sub-Saharan Africa,2018,2309.999943,1.88,98.12,5364369026,7889095
178,Togo,TGO,Africa,Sub-Saharan Africa,2019,2369.999886,0.78,99.22,5490272413,8082359
179,Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,2018,17780.00069,0.06,99.94,23808146748,1389841
180,Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,2019,17190.00053,0.06,99.94,24269714810,1394969
181,Tunisia,TUN,Africa,Northern Africa,2018,29889.99939,3.3,96.7,39770297329,11565203
182,Tunisia,TUN,Africa,Northern Africa,2019,29909.99985,3.7,96.3,38796687568,11694721
183,Ukraine,UKR,Europe,Eastern Europe,2018,185619.9951,62.03,37.97,1.30902E+11,44622518
184,Ukraine,UKR,Europe,Eastern Europe,2019,174729.9957,62.08,37.92,1.53781E+11,44386203
185,United Arab Emirates,ARE,Asia,Western Asia,2018,177119.9951,1.03,98.97,4.22215E+11,9630966
186,United Arab Emirates,ARE,Asia,Western Asia,2019,188860.0006,3.22,96.78,4.21142E+11,9770526
187,United Kingdom,GBR,Europe,Northern Europe,2018,360730.011,57.06,42.94,2.86067E+12,66460344
188,United Kingdom,GBR,Europe,Northern Europe,2019,348920.0134,58.98,41.02,2.82911E+12,66836327
189,United States of America,USA,Americas,Northern America,2018,4975310.059,37.5,62.5,2.05802E+13,326838199
190,United States of America,USA,Americas,Northern America,2019,4817720.215,38.5,61.5,2.14E+13,328329953
191,Uruguay,URY,Americas,Latin America and the Caribbean,2018,6539.999962,97.99,2.01,59596885024,3449290
192,Uruguay,URY,Americas,Latin America and the Caribbean,2019,6489.999771,98.53,1.47,56045912953,3461731
193,Vietnam,VNM,Asia,South-eastern Asia,2018,285600.0061,36.41,63.59,2.45214E+11,95545959
194,Vietnam,VNM,Asia,South-eastern Asia,2019,336489.9902,28.63,71.37,2.61921E+11,96462108
